celda_id,area_km2,dtot,fuera,ini_dia,fin_dia,lon,df,n50f,dtot_base,anios,frec,dens,frpi,aq,valida,sin_estacion,valida_n50f,valida_base,anio_inicio,anio_fin,base_inicio,base_fin
c0985_m08565,72.774,89,0,211,240,30,42,NA,89,10,0.769,0.0941,6,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0985_m08575,8.844,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0995_m08305,16.513,3,33.3,NA,NA,NA,3,NA,3,2,0.154,0.014,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0995_m08315,83.514,18,50,NA,NA,NA,17,NA,18,8,0.615,0.0166,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0995_m08325,121.268,23,34.8,NA,NA,NA,16,NA,23,7,0.538,0.0146,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0995_m08335,121.263,22,4.5,NA,NA,NA,17,NA,22,7,0.538,0.014,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0995_m08345,121.258,2,0,NA,NA,NA,2,NA,2,2,0.154,0.0013,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0995_m08355,121.254,1,0,NA,NA,NA,1,NA,1,1,0.077,6e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0995_m08365,121.251,7,28.6,NA,NA,NA,7,NA,7,6,0.462,0.0044,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0995_m08375,121.249,2,50,NA,NA,NA,2,NA,2,2,0.154,0.0013,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0995_m08385,121.247,20,5,NA,NA,NA,19,NA,20,8,0.615,0.0127,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0995_m08395,121.246,1,0,NA,NA,NA,1,NA,1,1,0.077,6e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0995_m08405,121.245,9,11.1,NA,NA,NA,8,NA,9,5,0.385,0.0057,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0995_m08415,121.246,157,3.8,145,229,85,120,0.35,157,13,1,0.0996,2.8,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
c0995_m08425,121.247,432,10.2,105,225,121,320,0.325,432,13,1,0.2741,1.9,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
c0995_m08435,121.249,418,0.2,158,225,68,228,0.254,418,13,1,0.2652,4,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
c0995_m08445,121.251,210,1,154,225,72,105,0.2,210,13,1,0.1332,4.7,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
c0995_m08455,121.254,22,0,NA,NA,NA,15,NA,22,7,0.538,0.014,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0995_m08465,121.258,91,0,174,226,53,43,NA,91,12,0.923,0.0577,3,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0995_m08475,118.608,446,0.4,146,212,67,231,0.216,446,13,1,0.2893,3.8,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
c0995_m08485,82.633,269,0,121,224,104,145,0.234,269,13,1,0.2504,4.8,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
c0995_m08495,32.06,117,0.9,105,210,106,68,0.265,117,13,1,0.2807,4.5,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
c0995_m08505,10.121,7,28.6,NA,NA,NA,6,NA,7,5,0.385,0.0532,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0995_m08515,40.885,40,0,195,251,57,20,NA,40,9,0.692,0.0753,3.8,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0995_m08525,116.234,436,11.9,90,232,143,196,0.245,436,13,1,0.2885,5.1,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
c0995_m08535,121.306,207,2.4,186,245,60,65,0.154,207,12,0.923,0.1313,3.7,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
c0995_m08545,121.316,18,0,NA,NA,NA,14,NA,18,8,0.615,0.0114,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0995_m08555,121.327,91,2.2,195,239,45,48,NA,91,12,0.923,0.0577,5.6,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0995_m08565,121.338,110,0,206,236,31,54,0.204,110,12,0.923,0.0697,3.5,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
c0995_m08575,73.353,88,1.1,173,239,67,53,NA,88,12,0.923,0.0923,2.6,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0995_m08585,0.023,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c1005_m08315,0.601,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c1005_m08325,85.484,1,100,NA,NA,NA,1,NA,1,1,0.077,9e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c1005_m08335,121.227,7,14.3,NA,NA,NA,5,NA,7,3,0.231,0.0044,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c1005_m08345,121.222,44,34.1,NA,NA,NA,35,NA,44,11,0.846,0.0279,4.9,NA,TRUE,TRUE,FALSE,TRUE,2013,2025,2013,2025
c1005_m08355,121.218,14,0,NA,NA,NA,11,NA,14,7,0.538,0.0089,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c1005_m08365,121.215,20,35,NA,NA,NA,9,NA,20,6,0.462,0.0127,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c1005_m08375,121.212,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c1005_m08385,121.21,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c1005_m08395,121.209,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c1005_m08405,121.209,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c1005_m08415,121.209,25,0,NA,NA,NA,24,NA,25,11,0.846,0.0159,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c1005_m08425,121.21,63,0,154,231,78,52,NA,63,13,1,0.04,4.1,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c1005_m08435,121.212,130,2.3,160,220,61,92,0.304,130,13,1,0.0825,3.4,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
c1005_m08445,121.215,80,1.2,162,217,56,62,NA,80,12,0.923,0.0508,4.9,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c1005_m08455,121.218,61,0,170,235,66,46,NA,61,13,1,0.0387,5.4,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c1005_m08465,121.222,7,0,NA,NA,NA,6,NA,7,4,0.308,0.0044,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c1005_m08475,121.227,131,0,180,222,43,59,0.186,131,11,0.846,0.0831,4.6,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
c1005_m08485,121.232,732,1.1,161,229,69,254,0.134,732,13,1,0.4645,5.1,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
c1005_m08495,120.028,861,2,158,235,78,296,0.152,861,13,1,0.5518,4.6,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
c1005_m08505,52.475,485,0,188,228,41,133,0.173,485,12,0.923,0.711,5.1,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
c1005_m08515,24.746,23,0,NA,NA,NA,13,NA,23,6,0.462,0.0715,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
