celda_id,area_km2,dtot,fuera,ini_dia,fin_dia,lon,df,n50f,dtot_base,anios,frec,dens,frpi,aq,valida,sin_estacion,valida_n50f,valida_base,anio_inicio,anio_fin,base_inicio,base_fin
c1005_m08445,121.215,21,0,NA,NA,NA,20,NA,19,10,0.5,0.0078,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1005_m08455,121.218,6,0,NA,NA,NA,6,NA,4,3,0.15,0.0016,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1005_m08465,121.222,5,0,NA,NA,NA,4,NA,2,2,0.1,8e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1005_m08475,121.227,43,0,145,222,78,31,NA,38,12,0.6,0.0157,11.8,0.474,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c1005_m08485,121.232,279,0,135,223,89,138,0.225,262,20,1,0.1081,21.3,0.607,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
c1005_m08495,120.028,312,3.8,133,234,102,174,0.253,289,20,1,0.1204,19.1,0.585,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
c1005_m08505,52.475,78,0,189,245,57,42,NA,73,11,0.55,0.0696,16.5,0.671,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c1005_m08515,24.746,3,0,NA,NA,NA,3,NA,3,3,0.15,0.0061,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1005_m08525,59.608,32,15.6,159,340,182,25,NA,29,11,0.55,0.0243,NA,NA,TRUE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1005_m08535,121.27,76,13.2,168,274,107,54,NA,68,16,0.8,0.028,15.3,0.544,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c1005_m08545,121.28,106,1.9,165,238,74,63,0.286,102,18,0.9,0.0421,15.8,0.657,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
c1005_m08555,121.29,143,7,111,237,127,78,0.244,134,18,0.9,0.0552,19.2,0.455,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
c1005_m08565,121.301,42,0,203,235,33,28,NA,39,13,0.65,0.0161,16.6,0.436,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c1005_m08575,121.313,48,0,180,237,58,38,NA,40,13,0.65,0.0165,16.2,0.425,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c1005_m08585,42.25,65,0,169,228,60,46,NA,58,15,0.75,0.0686,14.6,0.5,TRUE,FALSE,FALSE,TRUE,2002,2025,2003,2022
c1015_m08325,7.144,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1015_m08335,102.402,11,45.5,NA,NA,NA,7,NA,6,4,0.2,0.0029,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
c1015_m08345,121.185,2,0,NA,NA,NA,2,NA,2,1,0.05,8e-4,NA,NA,FALSE,FALSE,FALSE,FALSE,2002,2025,2003,2022
