celda_id,area_km2,anio_inicio,anio_fin,dtot_a,dtot_b,ini_dia_a,ini_dia_b,fin_dia_a,fin_dia_b,lon_a,lon_b,dens_a,dens_b,valida_a,valida_b,sin_estacion_a,sin_estacion_b,acuerdo,acuerdo_codigo,dif_ini,dif_fin,dif_lon
c1065_m08535,121.043,2013,2025,41,316,192,205,244,245,53,41,0.0261,0.2008,TRUE,TRUE,FALSE,FALSE,ambas,1,13,1,-12
c1065_m08545,121.052,2013,2025,69,606,167,178,254,242,88,65,0.0438,0.3851,TRUE,TRUE,FALSE,FALSE,ambas,1,11,-12,-23
c1065_m08555,121.063,2013,2025,331,1361,147,162,225,229,79,68,0.2103,0.8648,TRUE,TRUE,FALSE,FALSE,ambas,1,15,4,-11
c1065_m08565,121.074,2013,2025,198,1202,172,173,236,232,65,60,0.1258,0.7637,TRUE,TRUE,FALSE,FALSE,ambas,1,1,-4,-5
c1065_m08575,12.513,2013,2025,3,46,NA,174,NA,208,NA,35,0.0184,0.2828,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1075_m08365,73.158,2013,2025,0,2,NA,NA,NA,NA,NA,NA,0,0.0021,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1075_m08375,59.064,2013,2025,1,3,NA,NA,NA,NA,NA,NA,0.0013,0.0039,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1075_m08385,12.698,2013,2025,1,1,NA,NA,NA,NA,NA,NA,0.0061,0.0061,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1075_m08405,18.148,2013,2025,0,2,NA,NA,NA,NA,NA,NA,0,0.0085,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1075_m08415,24.897,2013,2025,1,17,NA,NA,NA,NA,NA,NA,0.0031,0.0525,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1075_m08425,67.129,2013,2025,0,10,NA,NA,NA,NA,NA,NA,0,0.0115,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1075_m08435,120.946,2013,2025,7,33,NA,199,NA,238,NA,40,0.0045,0.021,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1075_m08445,120.949,2013,2025,14,38,NA,135,NA,267,NA,133,0.0089,0.0242,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1075_m08455,120.952,2013,2025,12,71,NA,177,NA,257,NA,81,0.0076,0.0452,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1075_m08465,120.956,2013,2025,21,118,NA,205,NA,333,NA,129,0.0134,0.075,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1075_m08475,120.961,2013,2025,22,162,NA,183,NA,261,NA,79,0.014,0.103,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1075_m08485,120.966,2013,2025,11,42,NA,167,NA,253,NA,87,0.007,0.0267,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1075_m08495,120.972,2013,2025,8,49,NA,133,NA,252,NA,120,0.0051,0.0312,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1075_m08505,120.979,2013,2025,4,43,NA,80,NA,233,NA,154,0.0025,0.0273,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1075_m08515,120.986,2013,2025,1,3,NA,NA,NA,NA,NA,NA,6e-4,0.0019,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1075_m08525,120.995,2013,2025,0,16,NA,NA,NA,NA,NA,NA,0,0.0102,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1075_m08535,121.004,2013,2025,1,4,NA,NA,NA,NA,NA,NA,6e-4,0.0025,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1075_m08545,121.013,2013,2025,16,133,NA,203,NA,249,NA,47,0.0102,0.0845,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c1075_m08555,121.024,2013,2025,77,233,154,176,236,244,83,69,0.0489,0.1481,TRUE,TRUE,FALSE,FALSE,ambas,1,22,8,-14
c1075_m08565,121.035,2013,2025,77,372,211,208,237,239,27,32,0.0489,0.2364,TRUE,TRUE,FALSE,FALSE,ambas,1,-3,2,5
c1075_m08575,62.575,2013,2025,0,4,NA,NA,NA,NA,NA,NA,0,0.0049,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1085_m08375,24.303,2013,2025,0,1,NA,NA,NA,NA,NA,NA,0,0.0032,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1085_m08425,10.184,2013,2025,1,11,NA,NA,NA,NA,NA,NA,0.0076,0.0831,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1085_m08435,76.127,2013,2025,5,20,NA,NA,NA,NA,NA,NA,0.0051,0.0202,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c1085_m08445,120.909,2013,2025,36,177,NA,83,NA,254,NA,172,0.0229,0.1126,TRUE,TRUE,TRUE,FALSE,discordante,5,NA,NA,NA
c1085_m08455,120.913,2013,2025,18,128,NA,104,NA,249,NA,146,0.0115,0.0814,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
